Location,Name,Category,Description,Latitude,Longitude,Altitude,Date verified,Water,Composting sawdust,Recycling center,Artisan goods,Open,Electricity,Kitchen,Parking,Restaurant,Wifi,Big rig friendly,Tent friendly,Pet friendly,Showers,Toilets,Sanitation dump station,Outdoor gear,Groceries,Bakery,Rarity in this area,Repairs vehicles,Repairs motorcycles,Repairs bicycles,Sells parts,Recycles batteries,Recycles oil,Bio fuel,Electric vehicle charging
"Carrera 10B # 28-1 a 28-99, Cartagena de Indias, Bolívar, Colombia",Casa Tatis,Hostel,A reasonably-priced hostel in the Getsemani neighborhood of Cartagena. Has private rooms with AC. Breakfast included.  No parking on-site but there are secured lots nearby.,10.420333,-75.545217,,2014-03-27 03:46:20 UTC,Yes,,,,Yes,Yes,Yes,Garage Nearby,No,Yes - Unknown,No,No,Unknown,Cold,Yes,,,,,,,,,,,,,
"Cl. 30 #10c-1 a 10c-61, Cartagena, Bolívar, Colombia",Hotel San Roque,Hostel,"The kitchen is very small, but the rooms have AC, are relatively cheap and breakfast is included. They will cut you a deal if you stay three or more nights. Wifi, Cold showers, walking distance to old town, nice owners, a/c. We paid 171.000 for 2 Nights. No parking on-site but there are secured lots nearby.",10.422585,-75.544191,0.2890206575393677,2016-08-23 21:32:23 UTC,Potable,,,,Yes,Yes - At Sites,Yes,No,No,Yes - Fast,No,No,No,Cold,Running Water,,,,,,,,,,,,,
"Vías Parque Nacional Tayrona, Santa Marta, Magdalena, Colombia",Camping Castillete,Established Campground,"A (usually) quiet place to camp on the beach in Tayrona. Water is not drinkable, but the restaurant sells simple meals and drinks. Friendly owners. Not safe to swim on the beach most times of the year. Trails to the more popular swimming and snorkeling beaches start nearby, or they can be reached by car in several minutes. A bit pricey considering the park fees on top of the cost to camp. If you are sleeping in your car, note that you cannot drive to the palapa beach area, you'll have to park in the back near the restaurant.  General parking available away from beach area",11.305417,-73.916467,3.1427597999572754,2025-05-26 00:00:00 UTC,Non-Potable,,,,Yes,No,No,,Yes,Yes - Average,Yes,Yes,No,Cold,Running Water,No,,,,,,,,,,,,
"Calle 17, Taganga, Santa Marta, Magdalena, RAP Caribe, 470001, Colombia",Hotel Villa Esther,Hostel,"A nice, quiet place to stay in Taganga. Great kitchen and friendly owner. Rooms with AC available. Nice open courtyard with tables, chairs and fans.",11.267443,-74.188412,18.8512202113317,2019-11-09 03:37:48 UTC,Non-Potable,,,,Yes,Yes - At Sites,No,Yes,Yes,Yes - Fast,No,No,No,Cold,Running Water,,,,,,,,,,,,,
"Calle 3 # 25-2 a 25-100, Aguachica, César, Colombia",La Hosteria Del Viajero,Hotel,A good midway stop between the north coast and central highlands. Restaurant next door serves a decent and cheap breakfast. Rooms with AC available.  Parking available at the car wash next door.  Also a restaurant right next door.,8.311583,-73.609783,,2014-03-27 03:46:20 UTC,Yes,,,,Yes,Yes,No,Garage Nearby,Yes,Yes - Unknown,Unknown,No,Unknown,Cold,Yes,,,,,,,,,,,,,
"San Gil - Charalá, San Gil, Santander, Colombia",Hotel Posada Campestre,Established Campground,"Looks great on paper - pool with swim up bar, camping next to a river, free coffee, small kitchen, but it's a horrible place to camp, especially on the weekend. Incredibly noisy at night, unresponsive staff and a long uphill walk from the camping area to the parking lot. A terrible place to put tent.",6.539267,-73.126900,,2014-03-27 03:46:20 UTC,Yes,,,,Yes,Yes,Yes,,Yes,Yes - Unknown,Unknown,Yes,Unknown,Cold,Yes,Unknown,,,,,,,,,,,,
"I-45A # 2 a 100, Pinchote, Santander, Colombia",No Name Cabanas,Hotel,"We moved to these cabins shortly after a sleepless night Hotel Posada Campestre. Nestled between two large river-front hotels, it was a good place to catch up on sleep. The very friendly owner brought us coffee every morning.",6.544750,-73.165000,,2014-03-27 03:46:20 UTC,Yes,,,,Yes,Yes,No,Yes,No,Yes - Unknown,Unknown,No,Unknown,Cold,Yes,,,,,,,,,,,,,
"Cra. 9 #16-2, Villa de Leyva, Boyacá, Colombia",Renacer Hostel. Colombian Highlands,Established Campground,"This is a fantastic place to stay. Plenty to do, lots of space, great facilities and a quiet camping area. Nice hot and clean showers.  There are several nice grassy areas where you can park if you sleep in your car. Good internet. Free coffee. $18k per person. ",5.641230,-73.513210,2235.0,2025-04-24 00:00:00 UTC,Non-Potable,,,,Yes,Yes - At Sites,Yes,,Yes,Yes - Fast,No,Yes,Yes,Hot,Running Water,No,,,,,,,,,,,,
"Guatavita - Sesquile, Guatavita, Cundinamarca, Colombia",Finca Monticello,Established Campground,"A quaint place in a quaint town. As usually, very friendly owner who made us feel right at home. Quiet campgrounds in front or behind the property. Areas for grilling and campfires.",4.938000,-73.826467,0.0,2020-02-10 19:42:07 UTC,Yes,,,,Yes,Yes,No,,No,No,No,Yes,Unknown,Cold,Yes,Unknown,,,,,,,,,,,,
"Unnamed Road, Manizales, Caldas, Colombia",La Hacienda Venecia,Established Campground,"A very relaxing guesthouse with great camping spots along a river running through a coffee farm. Very helpful management. A great pool with hammock-lined patio for chilling. Restaurant serves set meals for a small fee and coffee, rum and beers are for sale. Espresso machine, coffee roaster and a fresh supply of beans grown on-site are free to guests. Grill available for use outside. The road in can be a bit bumpy, 4x4 required if you come from the south as the road is washed out into the river. 
The Hacienda now has two places to stay -  the main Casa at 350k COP a night an a Hostal that has been open about a year. There is a third place that was at the original coordinates that is being redeveloped. The place to stay in a van is the Hostal (5.037147, - 75.565742). They do a decent lunch there if you want (15k COP).  The Hostal does have a kitchen. 
",5.038230,-75.563700,1334.0,2025-05-27 00:00:00 UTC,Potable,,,,Yes,Yes,Yes,,Yes,Yes - Fast,No,Yes,Yes,Hot,Running Water,Unknown,,,,,,,,,,,,
"Carrera 6 # 2-2 a 2-100, Cali, Valle Del Cauca, Colombia",La Casa Cafe,Hostel,"A simple and cheap hostel to stay at in Cali. Kitchen isn't the best, but the restaurant is decent. Beds are harder than your average patch of dirt and grass. Dorms and private rooms available but no AC.  No parking on-site; street parking is not  recommend.",3.447617,-76.539133,,2014-03-27 03:46:20 UTC,Yes,,,,Yes,Yes,Yes,No,Yes,Yes - Unknown,Unknown,No,Unknown,Cold,Yes,,,,,,,,,,,,,
"Unnamed Road, Cali, Valle del Cauca, Colombia",Reserva Ambiental La Castellana,Established Campground,"Another top pick on our trip. Friendliest owners on the planet. On the road to Pance there are dozens of places to camp, but you should hold out until the end of the road for this gem. All the facilities including internet. Beautiful property, tons of space to spread out. Areas to grill, watch TV, hang out, go for a swim and fish.  Said to be internet as of August 2015

NOT bigrig friendly. Progressively worse road as you come towards the end.",3.334083,-76.639567,1950.0,2023-11-18 00:00:00 UTC,Yes,,,,Yes,Yes,Yes,,Yes,Yes - Slow,No,Yes,Yes,Cold,Yes,Unknown,,,,,,,,,,,,
"Cl. 4 #11-2 a 11-116, Popayán, Popayán, Cauca, Colombia",HostelTrail.com,Hostel,"A decent hostel, part of a larger network of hostels, in Popayan. All of the facilities you would expect from a downtown hostel in a central location. TV room, good kitchen and a couple common areas for hanging out. Rooms on the street are very noisy.  Two secured parking lots are within blocks.",2.443633,-76.610117,0.0,2015-11-18 18:21:51 UTC,Yes,,,,Yes,Yes,Yes,Garage Nearby,No,Yes - Unknown,Unknown,No,Unknown,Hot,Yes,,,,,,,,,,,,,
"Vía a las Lajas, Colina Verde, Las Lajas, Ipiales, Exprovincia de Obando, Nariño, RAP Pacífico, 524067, Colombia",Hotel Kuelap,Hotel,"A very simple place at the end of the main parking where the trails lead down to the church, next to the internet cafe. We ended up here because it was cheaper than camping. There are a few other hotels in the area that were cheaper than what we found in Ipiales. A good place to stay before crossing the border as it's only a 15 minute drive to Ecuador.  Parking lot in front is guarded at night.",0.807817,-77.583519,2656.0,2025-05-14 00:00:00 UTC,Yes,,,,Yes,Yes,No,Street Parking,Yes,Yes - Average,Unknown,No,Unknown,Hot,Yes,,,,,,,,,,,,,
"Cl. 30 #1-2, Cartagena, Bolívar, Colombia",Navy Museum Parking lot,Overnight Prohibited,"*Moderator Note: Overnight camping/parking is NOT available at this location.
....
Large car park where we parked for a night. Cost: Col 23k. From approx 8pm until 1pm next day. The spaces in the car park itself are quite short but there is room for bigger vehicles by the entrance. 24hr Security. .",10.421217,-75.552700,0.0,2024-07-13 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Funes # 2, Imues, Nariño, Colombia",Balneario Pilcuan Viejo,Informal Campsite,"Overnight stay in a wasted balneario close to El Pedregal. Stay there only if no other possibility.

Price:12000 Colombia Peso",1.022217,-77.476133,,2014-04-19 15:02:00 UTC,Yes,,,,Yes,No,Unknown,,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,,,,,,,,,,,,,
"Vía Principal El Bordo, Patía, Cauca, Colombia",Club Campestre Miravalle,Hotel,"No longer accepting overlanders (as at September 2023). You can only stay in the rooms/cabins. 

Nice grassy stayground, you can use the hotel's swimming pool included in the price. Cold showers only. Watch for mosquitos. Restaurant offers good food. 

Price:30000 Colombia Peso",2.108517,-76.989233,0.0,2023-09-05 00:00:00 UTC,Yes,,,,Yes,Yes - Not at Sites,No,Unknown,Yes,Yes - Fast,Unknown,Unknown,Unknown,Warm,Running Water,,,,,,,,,,,,,
"Unnamed Road, Cali, Valle del Cauca, Colombia",Hostel We can't remember the name,Hostel,"Nice hostel with no name in the beautiful valley of Rio Pance. We really enjoyed our stay there. The hostel offers hostel-owned walking tracks. 

Price:20000 Colombia Peso",3.324700,-76.628870,,2014-04-19 15:02:00 UTC,Yes,,,,Yes,Yes,Unknown,Unknown,Unknown,Yes - Unknown,Unknown,Unknown,Unknown,Yes,Yes,,,,,,,,,,,,,
"Autopista Medellín-Bogotá, Sonsón, Antioquia, Colombia",Camping at the entrance to Reserva Natural Rio Claro,Informal Campsite,"Parking lot at the entrance of the Reserva Natural. Price for camping includes entrance fee. Facilities are a little bit in a distance. Hot temperatures.
Just naughty and rip off! We arrived at the afternoon and asked if we can stay overnight behind the gate. A badly humored lady said no. No camping from 06 December till 31. March possible. After we show her that a lot of overlanders stood there, she discussed with two other ladies. Than we got the allowance to stay at the eco hotel one km inside the park for 50.000 cop. Because our motorhome has 7 meters we diside to walk the small path to see if it is possible. It was and we disided to stay overnight. As we returned the price was 50.000 PER PERSON. Dirty trick!!!",5.898733,-74.858367,0.0,2024-06-13 00:00:00 UTC,Non-Potable,,,,Yes,Yes - Not at Sites,No,,Yes,No,Yes,Yes,No,Cold,Running Water,,,,,,,,,,,,,
"Cra. 19 #1-11, Aguachica, Cesar, Colombia",Hotel El Bosque,Hotel,"From San Gil to P.N. Tayrona you may stay one night in Aguachica. We found this hotel by the help of a local hotel broker. Nice hotel with AC rooms and swimming pool.

Price:60000 Colombia Peso",8.312017,-73.615217,0.0,2017-09-07 20:57:38 UTC,Non-Potable,,,,Yes,Yes - Not at Sites,No,Secure Parking,No,No,Yes,No,No,Warm,Running Water,,,,,,,,,,,,,
"Mingueo-Santa Marta, Santa Marta, Magdalena, Colombia",Camping Los Angeles,Established Campground,"One of the most beautiful places we have ever been! You can stay right in front of the beach under coconut palms. Really romantic place to stay. Watch for mosquitos. The companies offering the Ciudad Perdida trek will pick you up at the hostel.

Price: 40,000 Colombia Peso per Person",11.293617,-73.888817,0.0,2025-03-09 00:00:00 UTC,Non-Potable,,,,Yes,Yes - Not at Sites,No,,Yes,Yes - Average,No,Yes,Unknown,Cold,Running Water,Unknown,,,,,,,,,,,,
"Carrera 1, Marbella, Cartagena, Dique, Bolívar, RAP Caribe, 472000, Colombia",Hotel Bellavista + Camping,Hotel,"Famous stay for overlanders while waiting or shipping the car to/from Colombia. The hotel is basic but offers all services needed. At the promenade in Cartagena.

Hotel reopened after the pandemic. Colonial style hotel, the rooms in the main tract are newly renovated, have a fan and AC (150.000 COP/noche). There are also older rooms with fan 120.000 COP. Walled parking in a dirty courtyard with security cameras and night guard. Gerhard speaks German. Restaurants, Bars and a Ara supermarket nearby. Beach right in front. Parking not nice for camping but hotel is okay and very nice people.",10.435222,-75.538314,3.7417612140998244,2025-01-14 00:00:00 UTC,Non-Potable,,,,Yes,Yes - Not at Sites,Yes,Yes,No,Yes - Fast,Yes,No,Yes,Cold,Running Water,,,,,,,,,,,,,
"16-14, Carrera 20, Comuna 1, Pasto, Centro, Nariño, 520003, Colombia",Hotel Chambu,Hotel,Great place to stay before crossing into Ecuador. Price has gone up to 80k/night but the showers were super hot and the beds were comfortable and clean. Fast wifi. Secure parking available under the hotel but anything over 2.6m won't fit.,1.209170,-77.277500,2610.0458984375,2019-11-01 00:00:00 UTC,Potable,,,,Yes,Yes - At Sites,No,Yes,Yes,Yes - Fast,Yes,No,No,Hot,Running Water,,,,,,,,,,,,,
"Tunia, Panamericana, El Pinar, Piendamó, Centro, Cauca, 190530, Colombia",Near Terpel station,Informal Campsite,"A Terpel station with some space to park for the night. Chosen because we are on grass instead of concrete like others. Tienda, pumps and bathroom open all night.",2.698060,-76.533330,1759.0,2024-11-28 00:00:00 UTC,Potable,,,,Yes,Yes - Not at Sites,No,,Yes,Yes - Fast,Yes,Yes,Yes,Cold,Running Water,,,,,,,,,,,,,
"Carrera 23A Sur, Buga, Centro, Valle del Cauca, 762001, Colombia",Rear of Primax Gas Station,Informal Campsite,It's now an Primax gas station. I had to fill up the tank. Noisy.,3.896390,-76.311670,992.1429443359375,2021-07-02 00:00:00 UTC,No,,,,Yes,No,No,,No,No,Yes,No,Unknown,No,Running Water,,,,,,,,,,,,,
"Carrera 52, Zamora, Comuna 2 - Santa Cruz, Perímetro Urbano Medellín, Medellín, Bello, Valle de Aburrá, Antioquia, 30005, Colombia",Esso/Mobil oil pit,Informal Campsite,"Save for the super-friendly and helpful guy who welcomed us here and made us coffee, there is little good to say about this place. It's in a very dodgy part of town with many shady characters and hookers hanging around. Very noisy with trucks all night. We arrived late and we were tired after a long day so we stayed and felt safe with the guards, but it was the worst night's sleep we've had in a long time. Only come here if you are desperate and self-contained.",6.308890,-75.555560,0.0,2017-12-29 00:00:00 UTC,Unknown,,,,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,,,,,,,,,,,
